AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
15|Florida Keys National Marine Sanctuary|2000|3|Total Nitrogen|Bottom|Sample|43|0.02435204|0.19082015|0.04228646|0.0660641569767442|0.0493587224356429|297
15|Florida Keys National Marine Sanctuary|2000|4|Total Nitrogen|Bottom|Sample|29|0.05656434|0.14425276|0.0877282|0.0904736768965517|0.0213059143954614|297
15|Florida Keys National Marine Sanctuary|2000|5|Total Nitrogen|Bottom|Sample|3|0.0620827|0.08068765|0.06429559|0.06902198|0.0101631743539949|297
15|Florida Keys National Marine Sanctuary|2000|6|Total Nitrogen|Bottom|Sample|49|0.04110071|0.19732009|0.07083904|0.0806844018367347|0.0360859651382124|297
15|Florida Keys National Marine Sanctuary|2000|7|Total Nitrogen|Bottom|Sample|29|0.0752994|0.45684026|0.10633786|0.200471260689655|0.141362464090754|297
15|Florida Keys National Marine Sanctuary|2000|9|Total Nitrogen|Bottom|Sample|52|0.07287214|0.40732145|0.128120365|0.130769043076923|0.0528680623906301|297
15|Florida Keys National Marine Sanctuary|2000|10|Total Nitrogen|Bottom|Sample|27|0.06528364|0.55097449|0.09961214|0.147370094074074|0.106230300062811|297
15|Florida Keys National Marine Sanctuary|2000|11|Total Nitrogen|Bottom|Sample|54|0.05847068|0.5192004|0.212487805|0.218250574259259|0.0850301738064138|297
15|Florida Keys National Marine Sanctuary|2001|1|Total Nitrogen|Bottom|Sample|60|0.05973225|0.30287503|0.133840805|0.1449151795|0.0714120019600353|297
15|Florida Keys National Marine Sanctuary|2001|2|Total Nitrogen|Bottom|Sample|21|0.13332101|0.33673841|0.16244748|0.191069230476191|0.0571914407838181|297
15|Florida Keys National Marine Sanctuary|2001|5|Total Nitrogen|Bottom|Sample|29|0.02380445|0.116955|0.03879655|0.0425343720689655|0.0199266000109614|297
15|Florida Keys National Marine Sanctuary|2001|6|Total Nitrogen|Bottom|Sample|52|0.02076322|0.26216977|0.095926185|0.105521251538462|0.0447863650562828|297
15|Florida Keys National Marine Sanctuary|2001|7|Total Nitrogen|Bottom|Sample|42|0.03991086|0.15108529|0.063254125|0.0718213126190476|0.0274341421881493|297
15|Florida Keys National Marine Sanctuary|2001|8|Total Nitrogen|Bottom|Sample|14|0.05110389|0.15125113|0.06468903|0.0727417664285714|0.0267966867511006|297
15|Florida Keys National Marine Sanctuary|2001|9|Total Nitrogen|Bottom|Sample|24|0.04556071|0.13617039|0.067062975|0.0737060966666667|0.0265979598536724|297
15|Florida Keys National Marine Sanctuary|2001|11|Total Nitrogen|Bottom|Sample|57|0.07117211|0.29414026|0.15912731|0.160767793859649|0.0520515068084426|297
15|Florida Keys National Marine Sanctuary|2001|12|Total Nitrogen|Bottom|Sample|23|0.08671555|0.29729097|0.11848241|0.145642866086957|0.0567838752778599|297
15|Florida Keys National Marine Sanctuary|2002|1|Total Nitrogen|Bottom|Sample|29|0.09684276|0.59855474|0.27154509|0.321928163103448|0.142730438952001|297
15|Florida Keys National Marine Sanctuary|2002|2|Total Nitrogen|Bottom|Sample|28|0.08945048|0.58840445|0.152229665|0.190215600357143|0.128775491680021|297
15|Florida Keys National Marine Sanctuary|2002|3|Total Nitrogen|Bottom|Sample|24|0.09399532|0.49823118|0.157036555|0.180386254583333|0.0985812732041835|297
15|Florida Keys National Marine Sanctuary|2002|4|Total Nitrogen|Bottom|Sample|47|0.06915975|0.73759217|0.19186947|0.25129057106383|0.164450976301357|297
15|Florida Keys National Marine Sanctuary|2002|5|Total Nitrogen|Bottom|Sample|33|0.1279706|1.10382833|0.28515423|0.438359900909091|0.254796125180929|297
15|Florida Keys National Marine Sanctuary|2002|8|Total Nitrogen|Bottom|Sample|43|0.04170852|0.49085102|0.09749817|0.112137295116279|0.0773111436955023|297
15|Florida Keys National Marine Sanctuary|2002|9|Total Nitrogen|Bottom|Sample|37|0.04973497|2.15358301|0.12707086|0.244407584594595|0.390091005280192|297
15|Florida Keys National Marine Sanctuary|2002|10|Total Nitrogen|Bottom|Sample|55|0.02915276|0.31310884|0.08454011|0.0993135423636364|0.0634447714415047|297
15|Florida Keys National Marine Sanctuary|2002|11|Total Nitrogen|Bottom|Sample|24|0.05205271|0.16609581|0.085595655|0.0874574941666667|0.0250971793431214|297
15|Florida Keys National Marine Sanctuary|2003|1|Total Nitrogen|Bottom|Sample|29|0.09548668|0.22394471|0.13573258|0.145111445172414|0.0295371422232426|297
15|Florida Keys National Marine Sanctuary|2003|2|Total Nitrogen|Bottom|Sample|25|0.105196|0.37813188|0.18200247|0.1952592284|0.0647809332029982|297
15|Florida Keys National Marine Sanctuary|2003|3|Total Nitrogen|Bottom|Sample|25|0.064047|0.12523062|0.08629061|0.0865663228|0.0149368617226136|297
15|Florida Keys National Marine Sanctuary|2003|4|Total Nitrogen|Bottom|Sample|29|0.1429623|0.30343733|0.18570828|0.188994546896552|0.0314585357096581|297
15|Florida Keys National Marine Sanctuary|2003|5|Total Nitrogen|Bottom|Sample|26|0.12398467|0.749792|0.250811585|0.266874369615385|0.125101407298584|297
