AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
15|Florida Keys National Marine Sanctuary|2010|Water Temperature|Bottom|Field|249338|8.494|37.5498|26.451|25.5868393385685|5.01272202587491|60, 296, 297, 899, 965, 4049
15|Florida Keys National Marine Sanctuary|2011|Water Temperature|Bottom|Field|274035|13.112|35.636|27.075|26.653954200011|3.61950239215579|60, 296, 297, 899, 965, 4049
15|Florida Keys National Marine Sanctuary|2012|Water Temperature|Bottom|Field|281306|12.727|34.44|26.402|26.5343607532367|3.24994980858017|60, 296, 297, 899, 4049
15|Florida Keys National Marine Sanctuary|2013|Water Temperature|Bottom|Field|279108|15.629|34.492|26.769|26.5807917386818|2.95747744720959|296, 297, 899, 4049
15|Florida Keys National Marine Sanctuary|2014|Water Temperature|Bottom|Field|283227|15.27|34.492|26.842|26.9809839167876|3.36962364038802|95, 296, 297, 899, 982, 4049
15|Florida Keys National Marine Sanctuary|2015|Water Temperature|Bottom|Field|294879|12.292|35.049|27.974|27.5803639920103|3.29118355980833|296, 297, 899, 982, 4049, 5002
15|Florida Keys National Marine Sanctuary|2016|Water Temperature|Bottom|Field|291879|14.314|35.529|26.818|26.8800390336407|3.4731466960551|60, 95, 296, 297, 899, 982, 4049, 5002
15|Florida Keys National Marine Sanctuary|2017|Water Temperature|Bottom|Field|290771|16.118|35.582|26.304|26.7146091529073|3.22860727959466|95, 296, 297, 899, 982, 4049, 5002
15|Florida Keys National Marine Sanctuary|2018|Water Temperature|Bottom|Field|302037|13.81|37.096|27.014|26.84815219195|3.49562945844228|296, 297, 899, 982, 4049
15|Florida Keys National Marine Sanctuary|2019|Water Temperature|Bottom|Field|231891|13.2|35.288|28.221|27.6023210322954|3.25392691382727|296, 297, 899, 4049
15|Florida Keys National Marine Sanctuary|2020|Water Temperature|Bottom|Field|1061|18.14|35.56|29.3|28.6268505183789|2.91079367383761|297, 982, 5002
15|Florida Keys National Marine Sanctuary|2021|Water Temperature|Bottom|Field|442|17.6|33.7|26.35|25.107850678733|4.2609149843349|4049, 5002
17|Fort Pickens State Park Aquatic Preserve|1982|Water Temperature|Bottom|Field|1|25.56|25.56|25.56|25.56||60
17|Fort Pickens State Park Aquatic Preserve|1983|Water Temperature|Bottom|Field|2|21.41|22.46|21.935|21.935|0.742462120245875|60
17|Fort Pickens State Park Aquatic Preserve|1991|Water Temperature|Bottom|Field|2|27.95|27.95|27.95|27.95|0|115
17|Fort Pickens State Park Aquatic Preserve|1992|Water Temperature|Bottom|Field|1|25.4|25.4|25.4|25.4||115
17|Fort Pickens State Park Aquatic Preserve|2009|Water Temperature|Bottom|Field|1|22.86|22.86|22.86|22.86||60
17|Fort Pickens State Park Aquatic Preserve|2010|Water Temperature|Bottom|Field|1|21.52|21.52|21.52|21.52||60
17|Fort Pickens State Park Aquatic Preserve|2011|Water Temperature|Bottom|Field|1|19.02|19.02|19.02|19.02||60
17|Fort Pickens State Park Aquatic Preserve|2013|Water Temperature|Bottom|Field|1|19.54|19.54|19.54|19.54||60
17|Fort Pickens State Park Aquatic Preserve|2014|Water Temperature|Bottom|Field|4|18.86|26|22.385|22.4075|3.42188422753703|5002
17|Fort Pickens State Park Aquatic Preserve|2015|Water Temperature|Bottom|Field|1|26.67|26.67|26.67|26.67||95
17|Fort Pickens State Park Aquatic Preserve|2016|Water Temperature|Bottom|Field|1|21.7|21.7|21.7|21.7||95
17|Fort Pickens State Park Aquatic Preserve|2018|Water Temperature|Bottom|Field|2|22.2|23|22.6|22.6|0.565685424949239|95
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1992|Water Temperature|Bottom|Field|3|28|29|28.5|28.5|0.5|102
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1995|Water Temperature|Bottom|Field|116|12.5|32.5|27.6|25.6336206896552|4.7795569007928|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1996|Water Temperature|Bottom|Field|184|13.1|32.3|25.5|24.4125|5.26158427906302|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1997|Water Temperature|Bottom|Field|209|14|33.8|25.7|25.2181818181818|4.42405515178258|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1998|Water Temperature|Bottom|Field|121|17.6|32.1|28.7|27.1057851239669|4.18328613892358|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1999|Water Temperature|Bottom|Field|101|15.1|31.5|25.2|23.8970297029703|4.43083413017334|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2000|Water Temperature|Bottom|Field|62|18.8|30.2|24.3|24.5870967741936|3.45806180296191|115, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2001|Water Temperature|Bottom|Field|86|12|33.1|26.35|24.5813953488372|5.35171246101562|115, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2002|Water Temperature|Bottom|Field|48|17.8|31.2|25|24.1333333333333|4.23357066403478|115, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2003|Water Temperature|Bottom|Field|49|18.8|31|25.4|25.9897959183673|3.78496174011702|115, 5002
