AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|259|Total Nitrogen|Bottom|Sample|1995-03-23|2020-12-14|99|0.0206773|0.79660321|0.12955917|0.15033725040404|0.103429944567318
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|260|Total Nitrogen|Bottom|Sample|2012-11-27|2020-10-27|3|0.0573622|0.10333333|0.0646611|0.0751188766666667|0.0247054653462879
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|261|Total Nitrogen|Bottom|Sample|1996-05-28|2011-07-14|59|0.06586341|0.42083163|0.16214016|0.168918139322034|0.065622341889874
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|261i|Total Nitrogen|Bottom|Sample|1995-03-23|1995-07-28|2|0.13748917|0.23304983|0.1852695|0.1852695|0.0675715907006621
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|262|Total Nitrogen|Bottom|Sample|1995-03-23|2011-07-14|62|0.06511658|0.63215313|0.167520005|0.182469312580645|0.0880918211187353
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|263|Total Nitrogen|Bottom|Sample|1995-03-23|2020-12-14|97|0.0161672|0.5477278|0.12576564|0.148593114329897|0.0895435008339329
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|264|Total Nitrogen|Bottom|Sample|1995-03-28|2020-11-15|99|0.0157346|0.3275314|0.09985088|0.120877507575758|0.0653471571962059
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|265|Total Nitrogen|Bottom|Sample|1996-03-15|1996-03-15|1|0.11555528|0.11555528|0.11555528|0.11555528|
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|266|Total Nitrogen|Bottom|Sample|2012-10-19|2013-01-17|2|0.0740922|0.116298|0.0951951|0.0951951|0.0298440073854032
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|267|Total Nitrogen|Bottom|Sample|1995-03-23|2020-12-14|97|0.0214613|0.63518943|0.12|0.158513630515464|0.120342656673137
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|268|Total Nitrogen|Bottom|Sample|1995-03-23|2020-12-14|41|0.02256199|0.3845926|0.148113|0.156976832195122|0.0639802772029368
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|269|Total Nitrogen|Bottom|Sample|1995-03-23|2020-12-14|99|0.0355586|2.15358301|0.14659725|0.176140138181818|0.211389017856033
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|270|Total Nitrogen|Bottom|Sample|1995-03-23|2020-12-14|99|0.0247422|0.76565925|0.1224188|0.163562223636364|0.140725633845602
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|271|Total Nitrogen|Bottom|Sample|1995-03-22|2020-12-14|101|0.0646156|0.5216925|0.16193006|0.176471303564356|0.0860691960816036
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|272|Total Nitrogen|Bottom|Sample|1995-03-22|2020-12-14|101|0.0259574|0.72792164|0.13420022|0.15322667049505|0.0947457104476783
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|273|Total Nitrogen|Bottom|Sample|1997-10-29|2020-12-14|92|0.025445|0.48711612|0.119054885|0.14145495076087|0.0833217715637694
