ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Month|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2|2007-02-14|2017-02-14|6|7.4|20|12.5|12.6333333333333|4.34771970884355
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|3|2007-03-13|2017-03-14|3|4|16|9.8|9.93333333333333|6.0011110082495
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|4|2000-04-11|2004-04-14|2|7.7|9.1|8.4|8.4|0.989949493661166
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|5|2004-05-11|2004-05-11|1|15|15|15|15|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|6|2003-06-10|2012-06-13|2|12|21|16.5|16.5|6.36396103067893
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|7|2002-07-16|2003-07-09|2|9.6|11|10.3|10.3|0.989949493661167
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|8|2005-08-10|2015-08-12|3|8.4|12|11|10.4666666666667|1.85831464863551
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|9|2003-09-09|2014-09-16|3|8.3|19|13|13.4333333333333|5.36314584300421
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|10|2005-10-12|2016-10-13|2|4.7|6.9|5.8|5.8|1.5556349186104
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|11|2003-11-13|2013-11-13|3|5.8|11|7.7|8.16666666666667|2.63122278291545
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|12|2016-12-13|2016-12-13|1|8.9|8.9|8.9|8.9|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1|2007-01-08|2015-01-07|4|1.1385|2.23642|1.52068|1.60407|0.461930823248099
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2|2007-02-20|2015-02-04|4|1.01|1.4281|1.133565|1.1763075|0.18772697752765
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|3|2007-03-13|2015-03-04|4|0.58|6.0561|1.487595|2.4028225|2.49348246969809
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|4|2007-04-10|2015-04-07|3|0.45|1.96|0.75046|1.05348666666667|0.799308370113396
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|5|2005-05-11|2015-05-07|4|0.96412|1.74|1.105|1.22853|0.355941723132687
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|6|1998-06-09|2015-06-04|8|0.63984|1.53|1.3741|1.218505|0.331561454204625
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|7|1998-07-15|2015-07-08|7|0.43406|6.68787|1.45|2.33954428571429|2.30033294194454
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|8|2006-08-15|2007-08-15|2|1.07|1.38|1.225|1.225|0.21920310216783
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|9|1999-09-20|2007-09-12|4|0.5|1.98|0.94|1.09|0.632824356884805
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|10|1997-10-15|2013-10-10|7|0.08|3|0.60862|0.905517142857143|0.967728373765323
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|11|1997-11-19|2014-11-05|8|0.44|7.6|1.495275|3.133575|3.09360129622419
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|12|1997-12-09|2014-12-03|8|0.3|1.92|0.957725|1.07876125|0.566719859780512
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1|2012-01-10|2012-01-10|1|2.93375|2.93375|2.93375|2.93375|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2|2007-02-20|2013-02-05|2|1.38396|1.93|1.65698|1.65698|0.386108586799102
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|3|2005-03-15|2012-03-05|3|1.2|4.74327|1.26|2.40109|2.02860921921892
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|4|2007-04-10|2007-04-10|1|0.91|0.91|0.91|0.91|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|5|2002-05-29|2007-05-17|3|1.02|1.9|1.6|1.50666666666667|0.447362641861536
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|6|2007-06-12|2016-06-08|3|1.31|1.65|1.36957|1.44319|0.181562463907053
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|7|1998-07-15|2015-07-08|5|0.98|4.65931|1.82|2.07658|1.50655100164249
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|8|2007-08-15|2014-08-05|3|1.03975|4.97962|1.07|2.36312333333333|2.26600306059664
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|9|1998-09-15|2016-09-06|6|1.12|2|1.4|1.51693666666667|0.352241031208272
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|10|1997-10-15|2012-10-04|7|1.32991|3.1|1.9|2.00284428571429|0.542688366433172
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|11|1998-11-10|2012-11-08|5|0.85871|7.5|3.02|3.525742|2.69703539146597
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|12|1997-12-09|2015-12-09|3|1.1|1.6|1.25657|1.31885666666667|0.255753243641861
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|1|2005-01-10|2014-01-13|2|1.15906|1.5|1.32953|1.32953|0.241080985977742
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2|2007-02-20|2014-02-05|3|0.92|1.68|1.36406|1.32135333333333|0.381795618797981
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|3|2005-03-15|2007-03-13|2|0.6|1.3|0.95|0.95|0.494974746830583
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|4|2005-04-14|2009-04-09|4|0.75|1.89|1.365|1.3425|0.468285881344576
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|5|2003-05-13|2009-05-07|3|0.89|1.6|1.25|1.24666666666667|0.355011736895181
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|6|2004-06-14|2009-06-03|4|1.25|1.9|1.535|1.555|0.298496231131986
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|7|1998-07-15|2015-07-08|5|1.49|8.84552|1.7|3.087104|3.22185771474781
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|8|2014-08-05|2014-08-05|1|5.63962|5.63962|5.63962|5.63962|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|9|2005-09-13|2007-09-12|2|0.76|1.1|0.93|0.93|0.240416305603426
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|10|1997-10-15|2007-10-10|6|1.21|3.3|1.395|1.70833333333333|0.799034834451331
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|11|1998-11-10|2007-11-06|4|0.67|5.8|3.445|3.34|2.58744404126286
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|12|2006-12-06|2015-12-09|5|0.86267|1.85|1.45182|1.400278|0.438944206272278
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|1|2015-01-08|2015-01-08|1|3|3|3|3|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2|2001-02-06|2017-02-07|6|0.75|3.1|1.35|1.74166666666667|1.04231313273251
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|3|2006-03-10|2008-03-12|2|1.8|2|1.9|1.9|0.141421356237309
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|4|2017-04-04|2017-04-04|1|4.7|4.7|4.7|4.7|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|7|2010-07-08|2010-07-08|1|1.1|1.1|1.1|1.1|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|8|2005-08-08|2015-08-03|3|1|2.3|1.3|1.53333333333333|0.680685928555405
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|10|2006-10-09|2016-10-03|2|1.1|1.8|1.45|1.45|0.494974746830583
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|11|2004-11-08|2014-11-03|2|0.65|1|0.825|0.825|0.247487373415292
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|12|2004-12-07|2015-12-08|4|0.95|1.4|1.25|1.2125|0.193110503770941
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3564|2|2009-02-05|2009-02-05|1|2.6|2.6|2.6|2.6|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3564|3|2015-03-10|2016-03-08|2|1.1|1.9|1.5|1.5|0.565685424949238
