AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|2|Salinity|Surface|2005-02-01|2005-02-28|28|34.5904166666667|35.9198979166667|35.4058666666667|35.371890327381|0.380380561962349
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|3|Salinity|Surface|2005-03-01|2005-03-31|31|34.8028791666667|35.7901645833333|35.3036104166667|35.3040358870968|0.306667033499984
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|4|Salinity|Surface|2005-04-01|2005-04-30|30|35.7106333333333|37.3626244444444|36.2737677083333|36.4663714398148|0.527906866095198
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|5|Salinity|Surface|2005-05-01|2005-05-31|31|36.89353125|38.2663979166667|37.5085458333333|37.5964670026882|0.339289803711821
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|6|Salinity|Surface|2005-06-01|2005-06-30|30|36.4358|37.69901875|37.1482385416667|37.1209302777778|0.333344114884336
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|7|Salinity|Surface|2005-07-01|2005-07-31|31|35.8174458333333|37.1457708333333|36.6720833333333|36.4380932795699|0.479436586381377
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|8|Salinity|Surface|2005-08-01|2005-08-31|31|35.59509375|37.67574375|37.2338875|37.0832364919355|0.556653367796346
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|9|Salinity|Surface|2005-09-01|2005-09-30|30|33.9278979166667|36.1244479166667|35.7845854166667|35.4821334722222|0.679758484055693
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|10|Salinity|Surface|2005-10-01|2005-10-31|31|35.1402229166667|36.36120625|35.977275|35.9642181451613|0.277844256856864
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|11|Salinity|Surface|2005-11-01|2005-11-30|30|33.2552729166667|35.98225625|35.6051009057971|35.0946320048309|0.895563235763767
