AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1|Water Temperature|surface|1987-01-13|2021-01-31|158|7.84|23.92|17.0808333333333|17.3827973164416|3.10699645296028
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2|Water Temperature|surface|1989-02-14|2021-02-28|143|11.96|25.1504166666667|20.4095833333333|20.2401114739107|3.0890312046131
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|3|Water Temperature|surface|1989-03-21|2021-03-31|155|13.43|26.9045833333333|21.295|21.4052806332618|2.92078519447191
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|4|Water Temperature|surface|1987-04-13|2021-04-30|157|18.12|27.4591666666667|24.4275|24.0798637710273|1.75077845317932
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|5|Water Temperature|surface|1989-05-17|2021-05-31|187|22.9358333333333|29.7170833333333|26.7175|26.6650080392157|1.4282213246333
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|6|Water Temperature|surface|1989-06-14|2021-06-30|180|23.8|31.6570833333333|29.0964583333333|29.1085917000496|1.23477641474966
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|7|Water Temperature|surface|1987-07-27|2021-07-31|186|28|31.875|30.2179166666667|30.1912637825608|0.888623101553127
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|8|Water Temperature|surface|1989-08-24|2021-08-31|185|27.9|32.2|30.4533333333333|30.3121524130284|0.994181191314327
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|9|Water Temperature|surface|1989-09-13|2021-09-30|184|25.37|31.6279166666667|29.1675|28.9945652347331|1.33775516734959
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|10|Water Temperature|surface|1987-10-28|2021-10-31|189|18.3504166666667|29.50832|26.85375|26.4925968477819|1.99064836871017
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|11|Water Temperature|surface|1988-11-15|2021-11-30|182|15.4241666666667|27.89|22.0489583333333|22.0722391561003|2.54201146483854
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|12|Water Temperature|surface|1989-12-13|2021-12-21|177|10.28|24.1491666666667|18.7279166666667|18.9515104482899|2.81938538249212
19|Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|1|Water Temperature|bottom|2001-01-01|2022-01-31|661|5.8375|23.896875|14.7864583333333|14.9466152991921|3.043355859935
19|Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|2|Water Temperature|bottom|2001-02-01|2022-02-28|605|10.2989583333333|23.715625|16.56875|16.5607377454599|2.57304085327745
