ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|138614|2008-09-27|2008-09-27|1|1.07|1.07|1.07|1.07|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|140526|2009-03-02|2009-03-02|1|0.78|0.78|0.78|0.78|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|140662|2009-09-08|2009-09-08|1|2.29|2.29|2.29|2.29|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|144318|2010-09-17|2010-09-17|1|2.64|2.64|2.64|2.64|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|155958|2008-03-03|2008-03-03|1|0.62|0.62|0.62|0.62|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|206336|2013-06-24|2013-06-24|1|2.797|2.797|2.797|2.797|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|207045|2009-07-14|2009-07-14|1|3.443|3.443|3.443|3.443|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|207322|2014-10-29|2014-10-29|1|0.544|0.544|0.544|0.544|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|207323|2014-10-29|2014-10-29|1|1.055|1.055|1.055|1.055|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|209394|2012-09-14|2012-09-14|1|2.915|2.915|2.915|2.915|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|209853|2015-06-27|2015-06-27|1|0.61|0.61|0.61|0.61|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|209966|2011-09-16|2011-09-16|1|2.416|2.416|2.416|2.416|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|210642|2014-09-21|2014-09-21|1|5.788|5.788|5.788|5.788|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|51278|1992-09-26|1992-09-26|1|1.25|1.25|1.25|1.25|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|54413|1994-09-27|1994-09-27|1|0.9|0.9|0.9|0.9|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|56703|1995-09-25|1995-09-25|1|2.98|2.98|2.98|2.98|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|57963|1986-09-07|1986-09-07|1|0.18|0.18|0.18|0.18|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|57965|1986-09-08|1986-09-08|1|0.74|0.74|0.74|0.74|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|57966|1986-09-08|1986-09-08|1|0.39|0.39|0.39|0.39|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|61323|1985-06-10|1985-06-10|1|0.93|0.93|0.93|0.93|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|63035|1987-09-15|1987-09-15|1|0.55|0.55|0.55|0.55|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|63997|1990-09-04|1990-09-04|1|0.46|0.46|0.46|0.46|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|68533|1993-10-12|1993-10-12|1|0.58|0.58|0.58|0.58|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|68697|1996-09-24|1996-09-24|1|0.51|0.51|0.51|0.51|
Big Bend Seagrasses Aquatic Preserve|60|Southeast Area Monitoring and Assessment Program (SEAMAP) - Gulf of Mexico Fall & Summer Shrimp/Groundfish Survey|86282|1982-06-08|1982-06-08|1|0.62|0.62|0.62|0.62|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5591B|2002-08-06|2002-08-06|1|0.27|0.27|0.27|0.27|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5593B|2002-12-02|2003-12-16|2|0.34|0.57|0.455|0.455|0.162634559672906
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5595B|2011-02-21|2011-02-21|1|0.34|0.34|0.34|0.34|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5597B|1999-06-08|1999-06-08|1|0.33|0.33|0.33|0.33|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5598B|2004-10-14|2004-10-14|1|0.62|0.62|0.62|0.62|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5599B|2009-04-20|2009-04-20|1|0.42|0.42|0.42|0.42|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5600B|2011-06-07|2011-06-07|1|0.27|0.27|0.27|0.27|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5604B|2000-12-19|2000-12-19|1|0.32|0.32|0.32|0.32|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5605B|2002-10-02|2002-10-02|1|0.93|0.93|0.93|0.93|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5606B|2011-12-11|2011-12-11|1|1.47|1.47|1.47|1.47|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5607B|2012-06-04|2012-06-04|1|0.32|0.32|0.32|0.32|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5608B|2005-04-07|2005-04-07|1|0.44|0.44|0.44|0.44|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5610B|2010-08-16|2010-08-16|1|0.28|0.28|0.28|0.28|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5615B|2004-05-01|2004-05-01|1|0.34|0.34|0.34|0.34|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5616B|2004-02-25|2004-02-25|1|0.2|0.2|0.2|0.2|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5617B|2007-02-26|2007-02-26|1|0.19|0.19|0.19|0.19|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5618B|2009-10-26|2009-10-26|1|0.58|0.58|0.58|0.58|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5620B|2009-12-17|2009-12-17|1|2.05|2.05|2.05|2.05|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5623B|2003-02-10|2003-02-10|1|0.11|0.11|0.11|0.11|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5626B|2004-08-26|2004-08-26|1|0.43|0.43|0.43|0.43|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5627B|2010-03-08|2010-03-08|1|0.43|0.43|0.43|0.43|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5632B|2011-04-04|2011-04-04|1|0.39|0.39|0.39|0.39|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5633B|2007-07-08|2007-07-08|1|0.18|0.18|0.18|0.18|
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|5636B|1998-12-16|1998-12-16|1|1.75|1.75|1.75|1.75|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4586A|2003-04-28|2003-04-28|1|0.303|0.303|0.303|0.303|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4587A|2004-03-23|2004-03-23|1|0.29|0.29|0.29|0.29|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4588A|2004-04-19|2004-04-19|1|0.206|0.206|0.206|0.206|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4589A|2003-05-19|2003-05-19|1|0.428|0.428|0.428|0.428|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4590A|2002-09-10|2002-09-10|1|0.368|0.368|0.368|0.368|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4591A|2004-11-16|2004-11-16|1|0.716|0.716|0.716|0.716|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4592A|2007-11-14|2007-11-14|1|0.712|0.712|0.712|0.712|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4593A|2003-01-13|2003-01-13|1|0.176|0.176|0.176|0.176|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4594A|2003-10-28|2003-10-28|1|0.299|0.299|0.299|0.299|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4595A|2006-05-03|2006-05-03|1|0.5|0.5|0.5|0.5|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4596A|2009-01-14|2009-01-14|1|0.624|0.624|0.624|0.624|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4597A|2003-09-29|2003-09-29|1|0.539|0.539|0.539|0.539|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4598A|2004-01-13|2004-01-13|1|0.13|0.13|0.13|0.13|
Biscayne Bay Aquatic Preserve|3|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Synoptic Shipboard Surveys|4599A|2002-08-22|2002-08-22|1|0.394|0.394|0.394|0.394|
