ParameterName,ActivityType,RelativeDepth,Website
Chlorophyll a corrected for pheophytin,Lab,All,1
Chlorophyll a uncorrected for pheophytin,Lab,All,1
"Colored dissolved organic matter, CDOM",Lab,All,1
Dissolved Oxygen,Field,All,1
Dissolved Oxygen Saturation,Field,All,1
pH,Field,All,1
Salinity,All,All,1
Secchi Depth,Field,Surface,1
Total Nitrogen,Lab,All,1
Total Phosphorus,Lab,All,1
"Total Suspended Solids, TSS",Lab,All,1
Turbidity,Lab,All,1
Water Temperature,Field,All,1
