AreaID,ManagedAreaName,ShortName,Region
1,Alligator Harbor Aquatic Preserve,Alligator Harbor,NW
2,Apalachicola Bay Aquatic Preserve,Apalachicola Bay,NW
3,Apalachicola National Estuarine Research Reserve,Apalachicola NERR,NW
4,Banana River Aquatic Preserve,Banana River,NE
5,Big Bend Seagrasses Aquatic Preserve,Big Bend Seagrasses,NW
6,Biscayne Bay Aquatic Preserve,Biscayne Bay,SE
7,Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve,Biscayne Bay-Cape Florida to Monroe County Line,SE
8,Boca Ciega Bay Aquatic Preserve,Boca Ciega Bay,SW
9,Cape Haze Aquatic Preserve,Cape Haze,SW
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,Cape Romano-Ten Thousand Islands,SW
11,Cockroach Bay Aquatic Preserve,Cockroach Bay,SW
12,Southeast Florida Coral Reef Ecosystem Conservation Area,Coral ECA,SE
13,Coupon Bight Aquatic Preserve,Coupon Bight,SE
14,Estero Bay Aquatic Preserve,Estero Bay,SW
15,Florida Keys National Marine Sanctuary,Florida Keys NMS,SE
16,Fort Clinch State Park Aquatic Preserve,Fort Clinch,NE
17,Fort Pickens State Park Aquatic Preserve,Fort Pickens,NW
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,Gasparilla Sound-Charlotte Harbor,SW
19,Guana River Marsh Aquatic Preserve,Guana River Marsh,NE
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Guana Tolomato Matanzas NERR,NE
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Indian River-Malabar to Vero Beach,NE
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Indian River-Vero Beach to Ft. Pierce,NE
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,Jensen Beach to Jupiter Inlet,NE
25,Lemon Bay Aquatic Preserve,Lemon Bay,SW
26,Lignumvitae Key Aquatic Preserve,Lignumvitae Key,SE
27,Loxahatchee River-Lake Worth Creek Aquatic Preserve,Loxahatchee River-Lake Worth Creek,NE
28,Matlacha Pass Aquatic Preserve,Matlacha Pass,SW
29,Mosquito Lagoon Aquatic Preserve,Mosquito Lagoon,NE
30,Nassau River-St. Johns River Marshes Aquatic Preserve,Nassau River-St. Johns River Marshes,NE
31,North Fork St. Lucie Aquatic Preserve,North Fork St. Lucie,NE
33,Pellicer Creek Aquatic Preserve,Pellicer Creek,NE
34,Pine Island Sound Aquatic Preserve,Pine Island Sound,SW
35,Pinellas County Aquatic Preserve,Pinellas County,SW
37,Rocky Bayou State Park Aquatic Preserve,Rocky Bayou,NW
38,Rookery Bay Aquatic Preserve,Rookery Bay,SW
39,Rookery Bay National Estuarine Research Reserve,Rookery Bay NERR,SW
40,St. Andrews State Park Aquatic Preserve,St. Andrews,NW
41,St. Joseph Bay Aquatic Preserve,St. Joseph Bay,NW
42,St. Joseph Bay State Buffer Preserve,St. Joseph Buffer,NW
43,St. Martins Marsh Aquatic Preserve,St. Martins Marsh,NW
44,Terra Ceia Aquatic Preserve,Terra Ceia,SW
45,Tomoka Marsh Aquatic Preserve,Tomoka Marsh,NE
47,Yellow River Marsh Aquatic Preserve,Yellow River Marsh,NW
48,Nature Coast Aquatic Preserve,Nature Coast,NW
