ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2013|8|Surface|2013-08-14|2013-08-31|18|28.9346666666667|30.354|29.9083823529412|29.7567702552269|0.419932327989489
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2013|9|Surface|2013-09-01|2013-09-30|30|28.56|29.7938888888889|29.27675|29.2196089838672|0.330061615946094
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2013|10|Surface|2013-10-01|2013-10-31|31|26.0986956521739|29.2515789473684|28.3695|28.2266897653541|0.83306399330751
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2013|11|Surface|2013-11-01|2013-11-30|30|24.77|26.9026086956522|26.3125227272727|26.0401654739066|0.655180304076657
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2013|12|Surface|2013-12-01|2013-12-31|31|24.4266666666667|25.5878947368421|25.0328571428571|25.0274370683552|0.277263123720054
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|1|Surface|2014-01-01|2014-01-31|31|21.4233333333333|25.1814285714286|23.3964705882353|23.420019191271|1.06762515774475
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|2|Surface|2014-02-01|2014-02-28|28|23.15|25.7147619047619|24.8719078947368|24.6616797810753|0.746749377929695
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|3|Surface|2014-03-01|2014-03-31|31|23.1619047619048|25.290625|24.5418181818182|24.2863288917769|0.648734479769545
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|4|Surface|2014-04-01|2014-04-30|30|23.7783333333333|27.5811111111111|25.9062683823529|25.7198964735256|1.03732346371504
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|5|Surface|2014-05-01|2014-05-31|31|26.2478947368421|28.5266666666667|27.2988888888889|27.3605160598761|0.710122198962953
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|6|Surface|2014-06-01|2014-06-30|30|26.9625|30.7794117647059|28.9637291666667|28.7915269401035|0.907545017901188
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|7|Surface|2014-07-01|2014-07-31|31|28.79|31.6615789473684|30.1741176470588|30.2487535691696|0.724571545224343
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|986|Water Temperature on Coral Reefs in the Florida Keys|6|2014|8|Surface|2014-08-01|2014-08-31|31|30.0294117647059|31.98625|30.9233333333333|31.0475198450348|0.564375346713007
