ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Month|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1|surface|1987-01-13|2021-01-31|158|14.375|35.68|19.6562379297917|20.3619806544196|3.30874490711225
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2|surface|1989-02-14|2021-02-28|142|14.25|35.67|20.6187589658333|20.5149645208057|3.32662968989756
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|3|surface|1989-03-21|2021-03-31|155|10.2|36.08|21.3289973483333|21.2351022246671|3.39050767699208
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|4|surface|1987-04-13|2021-04-30|157|12.3|36.34|22.5894865833333|22.2374902710396|3.5505117004634
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|5|surface|1989-05-17|2021-05-31|185|14.05|36.19|22.9998240116|23.7867494391539|4.223388470637
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|6|surface|1989-06-14|2021-06-30|180|15.725|38.91|21.20753713|23.2956799243487|4.59211520801088
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|7|surface|1987-07-27|2021-07-31|186|15.125|38.08|21.30855836|23.0816774213843|4.84013684578482
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|8|surface|1989-08-24|2021-08-31|185|14.35|36.9|20.57441664875|22.8697297261247|4.69023184513618
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|9|surface|1989-09-13|2021-09-30|184|15.225|36.35|20.65784617375|22.0272370819766|3.69555367400403
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|10|surface|1987-10-28|2021-10-31|190|12.2|36.72|20.2213917002083|20.6610873386205|2.69038803137942
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|11|surface|1988-11-15|2021-11-30|182|14|34.24|19.1702263952083|20.0800634853203|2.85686722584486
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|12|surface|1989-12-13|2021-12-21|176|13.4|34.57|19.2475601947917|20.0591970902719|2.89221997286827
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|1|bottom|2001-01-01|2022-01-31|648|11.8354166666667|38.1010416666667|28.4625|28.0525093074817|5.77522338787828
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|2|bottom|2001-02-01|2022-02-28|605|9.73020833333333|36.93125|28.465625|27.535346857739|5.77318685084784
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|3|bottom|2001-03-01|2022-03-08|626|6.39166666666667|37.415625|28.9489583333333|28.2910317124446|6.0994592390337
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|4|bottom|2001-04-01|2021-04-30|540|14.6125|38.5552083333333|31.4666666666667|30.015493946079|5.15648137356139
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|5|bottom|2001-05-01|2021-05-31|562|7.74270833333333|39.3625|33.9125|32.4566595899337|6.21484657845485
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|6|bottom|2001-06-01|2021-06-30|579|3.36770833333333|39.6875|33.409375|31.038827499829|6.88814340018778
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|7|bottom|2001-07-01|2021-07-31|516|4.99479166666667|38.375|29.4572916666667|28.7058280413197|7.10920437680063
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|8|bottom|2001-08-06|2021-08-31|568|5.60104166666667|40.815625|27.5302083333333|26.9292549313616|8.11046112914708
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|9|bottom|2001-09-01|2021-09-30|557|4.178125|39.575|23.9989583333333|24.3176601415457|8.47322755869154
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|10|bottom|2001-10-01|2021-10-31|611|6.73958333333333|39.00625|22.9020833333333|23.4926096962115|7.61679252449922
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|11|bottom|2001-11-01|2021-11-30|598|10.49375|39.1385416666667|26.7541666666667|27.1810495936776|5.62105909069739
Guana River Marsh Aquatic Preserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmpiwq|12|bottom|2001-12-01|2021-12-31|613|11.4416666666667|39.6229166666667|26.8572916666667|27.2134869978502|5.87585218356765
Guana Tolomato Matanzas National Estuarine Research Reserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmfmwq|1|bottom|2001-01-01|2022-01-31|592|28.3791666666667|37.31875|34.0401041666667|34.0756285580839|1.6944123182396
Guana Tolomato Matanzas National Estuarine Research Reserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmfmwq|2|bottom|2001-02-01|2022-02-28|577|28.2114583333333|37.2927083333333|33.50625|33.6057235606474|2.03901744459992
Guana Tolomato Matanzas National Estuarine Research Reserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmfmwq|3|bottom|2001-03-01|2022-03-08|603|22.5875|37.7697916666667|34.325|33.9909200307066|2.50434824091387
Guana Tolomato Matanzas National Estuarine Research Reserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmfmwq|4|bottom|2001-04-01|2021-04-30|608|27.6479166666667|38.203125|34.7385416666667|34.5458383312338|1.88541493590429
Guana Tolomato Matanzas National Estuarine Research Reserve|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|gtmfmwq|5|bottom|2001-05-01|2021-05-31|584|18.453125|37.95625|35.3932291666667|35.1590822300605|2.32878181929878
