AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-04-01|Turbidity|Surface|Field|2004-01-21|2004-01-21|1|2.2|2.2|2.2|2.2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-04-04|Turbidity|Surface|Field|2004-05-18|2004-05-18|1|2.4|2.4|2.4|2.4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-05-02|Turbidity|Surface|Field|2005-03-01|2005-03-01|1|0.6|0.6|0.6|0.6|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-05-07|Turbidity|Surface|Field|2005-09-01|2005-09-01|1|3.7|3.7|3.7|3.7|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-05-08|Turbidity|Surface|Field|2005-10-19|2005-10-19|1|1.8|1.8|1.8|1.8|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-06-01|Turbidity|Surface|Field|2006-01-05|2006-01-05|1|0.7|0.7|0.7|0.7|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-06-03|Turbidity|Surface|Field|2006-04-17|2006-04-17|1|0.8|0.8|0.8|0.8|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-06-06|Turbidity|Surface|Field|2006-07-31|2006-07-31|1|1.5|1.5|1.5|1.5|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-06-07|Turbidity|Surface|Field|2006-09-07|2006-09-07|1|2.7|2.7|2.7|2.7|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-07-01|Turbidity|Surface|Field|2007-01-18|2007-01-18|1|1.2|1.2|1.2|1.2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-07-02|Turbidity|Surface|Field|2007-02-28|2007-02-28|1|3.1|3.1|3.1|3.1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-07-08|Turbidity|Surface|Field|2007-11-05|2007-11-05|1|2.4|2.4|2.4|2.4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-08-01|Turbidity|Surface|Field|2008-02-05|2008-02-05|1|1.4|1.4|1.4|1.4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-08-03|Turbidity|Surface|Field|2008-05-28|2008-05-28|1|2.4|2.4|2.4|2.4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-08-08|Turbidity|Surface|Field|2008-12-08|2008-12-08|1|2.2|2.2|2.2|2.2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-09-03|Turbidity|Surface|Field|2009-05-14|2009-05-14|1|1.9|1.9|1.9|1.9|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-09-05|Turbidity|Surface|Field|2009-08-13|2009-08-13|1|15|15|15|15|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-10-01|Turbidity|Surface|Field|2010-02-02|2010-02-02|1|1.1|1.1|1.1|1.1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-10-03|Turbidity|Surface|Field|2010-05-06|2010-05-06|1|8.5|8.5|8.5|8.5|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-10-06|Turbidity|Surface|Field|2010-09-09|2010-09-09|1|4|4|4|4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-11-06|Turbidity|Surface|Field|2011-09-08|2011-09-08|1|5.3|5.3|5.3|5.3|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-12-01|Turbidity|Surface|Field|2012-01-25|2012-01-25|1|1.7|1.7|1.7|1.7|
